,reviews_rating,user_sentiment,reviews_text
9,1,Positive,Got as a surprise for my husband there is nothing special about it just a lube save the money and get plain KY if you just need a lube wish I could return it for a refund
11,1,Positive,Purchased this thinking it would have some sort of warming effect but it's the same as the original. Don't waste your money.
14,1,Positive,First time purchase of this type of product. Maybe I expected too much. Did not think there was any warming feeling at all. Left us sticky! Even after trying to was it off.
54,1,Positive,"I used (and loved) this product for several years until they changed it. It used to moisturize my skin and left it feeling soft. Now, it sits on top of my skin and is never absorbed. It just leaves a slimy film on my skin. I will no longer purchase this product."
56,1,Positive,"I am so disappointed! I have used this product for years because of it's soft smell and great results. The new formula feels greasy, smells awful and I don't feel like my skin looks as toned and wrinkle free anymore. This was a five star product for so many years...why change it Please bring back the old formula."
58,1,Positive,"It took me so long to find a moisturizer that worked well for me and I loved this product. However, this new formula has a smell that is too strong for me and feels very greasy once applied. Unfortunately I will no longer be purchasing this product and will have to search again for another moisturizer. Please Olay, bring back your old formula. It was so much better."
60,1,Positive,Olay don't work for me I have overly dry skin. I haven't found anything to work on my skin. So I'm hoping to be able to find something that will work. But I'm affrid I won't be able to find anything to help my skin not be so dry. It gets so bad the I dig at my legs all the time.
64,2,Positive,"While this product probably does leave faces feeling nourished, I would not recommend using it as a daily moisturizer under makeup. It left my face full of crumbles as soon as I brushed on my makeup. Would probably be better as a night cream."
66,2,Positive,GreatGreatmefeels great smells great succulent took away dry skin silky smooth enriching
688,1,Positive,"Leaves windows with streaks, although it does seem to work OK on other surfaces."
689,1,Positive,it leaves streaks bad . i used windsheild washer fluid in spray bottle to clean off windex. now clean!
690,1,Positive,Very disappointed in this product. It leaves all kinds of streaks no matter how many times you wash your windows. A 50/50 mixture of white vinegar and water is much better.
692,1,Positive,"Having used Windex for years , I noticed in the last year or so, a VERY different result when I clean my windows. I have had to go over them 2-3 times and still they have a streaky film not seen before. What's going on I have now resorted to light soap with a lemon water rinse and my windows sparkle. You have lost a very loyal customer and I am not alone, though I can now spend that money on lemons !"
693,1,Positive,"Despite the long reputation this product has had as a top glass cleaner, it no longer gets the job done. Too often I find streaks and smudges appear on the mirrors within hours of cleaning. It doesn't matter if I use a paper towel, newspaper, or lint-free cloth. Windex's 'streak-free shine' is a false advertisement if you ask me. This is no longer my choice glass cleaner."
694,1,Positive,"I have used windex for many years (only because my family introduced me to the product) and always been unhappy with the film/streaks it leaves on the glass. I have to go back over it several times and i still can't get rid of the film/streaks. I use paper towels and even with cloth, streaks of film are left. I'm testing other products in order to find something better."
696,1,Positive,I have yet to buy a glass cleaner that doesn't leave streaks and this one failed also. I have switched to plain water in a spray bottle for my mirrors and it is amazing how they shine. Try it. Better for the environment too.
698,1,Positive,"I've used Windex for 30 years and not sure what has changed but no doubt something to cut costs, increase profits. Definitely not the original cleaner. This product no longer works. Leaves streaks and film and no matter how much you apply or repeat clean, seems to only get worse! Finally used water which worked better. So frustrating."
700,1,Positive,"I have used Windex original for over 50 years and have always loved it. Now I clean windows, mirrors and glass topped tables and have nothing but streaks. I thought it was my cloth so changed it to everyone available plus paper towels and still streaks. What did you do to my favorite glass cleaner"
701,1,Positive,"I used all windex products for years. Now all the cleaners , not just windex, leave a smeary residue. I have tried newspaper, unprint newspaper for packing and many types of cleaning cloths, as well as paper towels. I noticed this happening about 2 years ago. What has happened to the formula."
702,1,Positive,"Have tried windex with a squeegee, microfiber cloth, newsprint, two different types of paper towel. No matter what I do, how many times I wash it, there are always gross streaks. In fact, it seems like every time I apply windex, the streaks get worse. I'm looking for another window cleaner."
703,1,Positive,Washed my car windows 4 times using different paper towels and lint free cloths. Could not get the windows clean. Ended up using ammonia and water and got most of the streaks off on the fifth time! I used Windex Complete and will never use it again. Streaked the bathroom mirrors too.
706,1,Positive,"I've used Windex all my life and while it's not streak-free, it did an adequate job. But lately, my windows are covered with a white haze in blotches. I have to go back over and over to get them clean. This is not the original Windex - what have you done to it"
708,1,Positive,"I have been using the Windex/Multisurface with vinegar for years and have always had very good results. I went looking for another bottle when I ran out and noticed that the packaging has changed. I purchased a bottle and also noticed another thing, the quality has changed as well. When I used it on my mirrors they were all smudged. I did not get that usual streak free shine that I usually get with this particular product. I have enjoyed using your Windex/Multisurface, vinegar product in the past and have always passed over the less expensive brands to purchase this particular product because I knew it's quality. If this is the product that you will be producing, I will no longer be a consumer. I understand that you have to find ways to keep things cost effective for your company as well as the consumers,but please maintain your quality."
709,1,Positive,"I've used this product for many years and was very happy with it. But in the last year I find it streaks and leaves a dull finish. At first I thought maybe it had froze during shipment, but then I repurchased it several times and it still not the same has it use to be. AND don't tell me I'm using it wrong or it's the operator because it is NOT. I've also read the reviews and I'm not the only one complaining about this product. I gave it a very low rating because I KNOW it use to be a good product. Something has changed whether it's the way it's produced or the ingredients. But I will not be purchasing any more of this. I can do better with vinegar and water and it's not has costly and I don't have to waste time trying to get it to not streak or dull up within a day or two.."
711,1,Positive,"I used Windex Original on my glass top kitchen table and all I could see was a smeary haze. I tried it two more times and it was still hazy. The forth time instead of a paper towel I used a clean cotton dish rag - still smears. I had been cleaning both top and undersides of the table. When I tried windex on a nearby window, it seemed to work fine. I wonder if the previous cleaner had left a residual My husband who has more muscle is going to reclean the glass top bottom. If microfiber cloth is required,you should put that on the label. I clean my table 3 or 4 times a day - I NEED SOMETHING THAT WORKS."
712,1,Positive,"This product is no where near working successfully in cleaning windows. To my disappointment the home remedies that I had used before trying this worked 100 better. No matter how I approach the cleaning, it just leaves streaks and film. In years past Windex was used and it seemed to have worked better than the current bottle. Biggest disappointment is that I just bought a one gallon refill!"
