,reviews_rating,user_sentiment,reviews_text
92,4,Negative,It hydrates my skin. It is not too thick and heavy when I put it on. This review was collected as part of a promotion.
96,4,Negative,In only a week I can see the difference in my skin on my face. This review was collected as part of a promotion.
100,4,Negative,This product has made my skin smoother and supple after only two weeks. It absorbs well and leaves no residue. This review was collected as part of a promotion.
106,4,Negative,"I like to use this cream on my neck and collarbone to help keep my skin well moisturized, but it can be a little heavy for the skin on my face This review was collected as part of a promotion."
117,4,Negative,"I finally found a moisturizing product that will absorb completely and not leave my skin feeling like it's suffocating. I apply it, and it feels like there is nothing there but my skin looks smoother. This review was collected as part of a promotion."
121,4,Negative,"I hate to be picky, but who was responsible for the design of this product Push down on top of the package to dispense product from center of package... Even the directions are awkward! The cream is yummy, the design I really hate!"
144,4,Negative,Regenerist provides a deep hydration of the skin. I find my skin is smoother after use. This review was collected as part of a promotion.
153,4,Negative,I have used the product since I was 16 I have tried others just not the same.my mom used it how I learned about it
160,4,Negative,Works well with skin contour hides blemishes and wrinkles
166,4,Negative,This product is really helpful for dry rough skin and I use their product everyday
180,4,Negative,I have tried everything from all natural to high end designer cosmetics. This is a rock solid product that does it claims!!! It's been part of my regiment for over ten years. I regularly try other products but it's always a waste of time and money!
182,4,Negative,It moisturizes well. I could see the difference within a couple of days. It is slightly heavy so I only use it a night.
184,4,Negative,Very silly feeling but not oily. Has a soft clean smell to it.
189,4,Negative,My life changed as my face started to glow. Everyone wanted to know the secret... Wasn't a secret after all. Women like sharing beauty tip. I look younger and feel confident.
211,5,Negative,this product makes my face feel like I have de-aged by twenty years! This review was collected as part of a promotion.
213,5,Negative,After using a short time it totally changed the texture of my skin. This review was collected as part of a promotion.
215,5,Negative,I like the feel and texture of my skin after using this product. This review was collected as part of a promotion.
216,5,Negative,"No wrinkles for me, no worrying either because I have my OLAY !! This review was collected as part of a promotion."
217,5,Negative,This product gives my face a starry appearance and a silky feel. This review was collected as part of a promotion.
220,5,Negative,I can tell a difference when I haven't applied the cream. This review was collected as part of a promotion.
235,5,Negative,I just trust it to keep my skin renewed. I see the results daily. I don't have to be looking and experimenting with other brands others than Olay. This review was collected as part of a promotion.
237,5,Negative,The only product I have ever used that I could truly tell made a difference in my skin. Even my husband commented how much younger my skin looked. This review was collected as part of a promotion.
246,5,Negative,I am in my seventies and get compliments all the time on my skin. I don't leave home without putting it on!!! This review was collected as part of a promotion.
266,5,Negative,For deep penetrating long lasting hydration you can't go wrong with Olay Regenerating Deep Hydration Regenerating Cream! This review was collected as part of a promotion.
271,5,Negative,I use this product on a daily basis. It has helped my skin feel smoother and healthier. I definitely recommend it! This review was collected as part of a promotion.
273,5,Negative,My skin needs extra hydration because I work inside an aircraft where there is 0 humidity. My skin soaks up the moisture from this product This review was collected as part of a promotion.
284,5,Negative,"With aging skin, moisture loss is a problem on a daily basis. This product keeps my skin moisturized and softens the wrinkle lines. This review was collected as part of a promotion."
298,5,Negative,have used this product for over a year and am constantly told I do not look my 74 years of age. This review was collected as part of a promotion.
302,5,Negative,I have noticed that my skin feels softer and stronger since I started using the cream. This review was collected as part of a promotion.
314,5,Negative,I am 60 years old and have used Olay products for 20 years. I do not have any serious wrinkles on my face at all and am told all the time that I do not look my age. Thank You! This review was collected as part of a promotion.
317,5,Negative,"I would recommend this product to anyone. My husband loves the way it feels on his face also. Definitely think that it has helped my skin, I have been using it for years. This review was collected as part of a promotion."
319,5,Negative,"regenerist deep hydration regenerating cream works wonders on dry skin. regenerist goes on smoth, absorbs into the skin and last all day leaving skin smoth and hydrated. This review was collected as part of a promotion."
325,5,Negative,"I USE OLAY REGENERIST DEEP HYDRATION REGENERATING CREAM EVERY NIGHT AND IN THE MORNING MY FACE IS SOFT AND AND STILL HYDRATED, OTHER CREAMS I USED, MY FACE WOULD BE VERY DRY THE NEXT MORNING. This review was collected as part of a promotion."
330,5,Negative,I don't use anything else. I just turned 50.. And my friends tell me you can't tell! I have used Olay since I grew up seeing the pink bottle on my mothers dresser! She never looked her age! This review was collected as part of a promotion.
335,5,Negative,My face was getting dry flaky and looking old...my mother told me about this line from Olay and I started right away. It's only been 1 week and I look younger and no more flaky face!!! This review was collected as part of a promotion.
349,5,Negative,I have been using Olay since I was 19 years old starting with the first product of moisturizer in a small bottle. I have not nor will I ever use anything on my face but OIL OF OLAY! HOORAY FOR OLAY! This review was collected as part of a promotion.
360,5,Negative,my sister has been using this product for years!
370,5,Negative,"Ive been using Regenerist Deep Hydration Regenerating Cream for 4 years now im totally hooked it makes my skin feel and look years younger,in my family you don't use anything but olay it has proven itself through generations now This review was collected as part of a promotion."
382,5,Negative,I use this product hours before bed for deep hydration and sometimes the night renewal cream. My skin looks replenished in the morning. I do wake up with slightly oily skin but I wouldn't hold it against the product. This review was collected as part of a promotion.
384,5,Negative,My mom always used Olay when I was growing up and like a typical teen I didn't listen. As I grew older I began to see my error. I could not be happier with the results I have achieved. My friends say I look ten years younger. Always listen to your mother This review was collected as part of a promotion.
398,5,Negative,"As my skin is aging and I'm in the dry state of Colorado, this is my go to moisturizer. I feel it completely moisturizers my face and makes it look fresher and less aged. My face appears smoother and brighter. I also likes the way it is a good base for any make-up regimen I follow it with. This review was collected as part of a promotion."
403,5,Negative,This product does what it says it will do I have used it for six months.I will continue to use it.
